rt,subj_idx,highDimCoh,irrDimCoh,lowDimCoh,errorLev,errorDim,response
0.966281499,1,1,-1,1,0,0,3
1.016519823,1,1,-1,1,0,0,3
1.016374332,1,1,-1,1,0,0,3
1.21631191,1,-1,-1,-1,2,2,2
1.233148673,1,1,1,-1,2,3,2
1.266202203,1,-1,1,-1,0,0,3
1.049560072,1,1,1,1,0,0,3
1.182942345,1,-1,1,1,0,0,3
0.799945607,1,1,1,1,0,0,3
0.866568828,1,-1,-1,1,0,0,3
1.09975493,1,-1,-1,1,1,1,1
0.883128796,1,1,1,-1,2,3,2
1.099608836,1,-1,-1,1,1,1,1
1.299760122,1,1,1,1,0,0,3
0.916167537,1,1,1,-1,0,0,3
1.449516123,1,-1,-1,-1,2,3,2
0.816466637,1,-1,1,-1,0,0,3
1.449438548,1,-1,1,-1,2,3,2
0.866504534,1,1,1,1,0,0,3
0.866471935,1,1,1,1,0,0,3
0.949646974,1,1,-1,-1,0,0,3
0.966400729,1,-1,1,1,2,3,2
1.1664352,1,-1,1,1,0,0,3
1.54955147,1,1,1,1,2,3,2
0.683294148,1,-1,1,1,1,1,1
1.549764272,1,-1,1,1,0,0,3
0.8830968,1,-1,1,1,0,0,3
0.683095834,1,-1,-1,1,0,0,3
1.333081995,1,-1,1,-1,0,0,3
1.183067008,1,1,-1,-1,0,0,3
0.750053502,1,1,-1,-1,2,2,2
1.133046014,1,1,1,-1,0,0,3
1.149604776,1,1,-1,-1,0,0,3
4.082049147,1,1,1,-1,0,0,3
2.865686829,1,-1,-1,1,0,0,3
0.799642552,1,1,1,-1,1,1,1
1.08309505,1,1,-1,-1,2,3,2
1.066347332,1,-1,1,-1,2,3,2
1.632694815,1,1,1,-1,0,0,3
1.649667711,1,-1,1,-1,0,0,3
1.09963238,1,-1,1,-1,2,3,2
1.283027496,1,-1,-1,-1,0,0,3
1.249801007,1,1,1,-1,0,0,3
2.399437477,1,1,-1,-1,0,0,3
2.132586602,1,-1,-1,-1,0,0,3
1.39991017,1,-1,-1,1,1,1,1
0.799824868,1,1,1,-1,0,0,3
1.699549553,1,1,1,-1,2,2,2
2.049474951,1,-1,1,1,0,0,3
1.449503446,1,1,-1,1,0,0,3
1.332981178,1,-1,1,1,0,0,3
1.483064684,1,-1,1,-1,0,0,3
0.916316045,1,1,-1,1,0,0,3
1.016526162,1,-1,1,1,0,0,3
0.833181454,1,1,-1,-1,0,0,3
1.716140914,1,-1,1,1,0,0,3
1.116418432,1,1,-1,1,0,0,3
1.016409347,1,-1,-1,1,0,0,3
0.933138622,1,1,1,-1,2,3,2
0.950201167,1,1,-1,1,0,0,3
1.083159947,1,1,-1,1,0,0,3
1.366268338,1,-1,1,1,0,0,3
0.766923771,1,-1,1,-1,0,0,3
3.782262463,1,-1,1,-1,1,1,1
1.083028945,1,1,1,-1,0,0,3
0.66670641,1,1,-1,-1,2,2,2
0.93303871,1,-1,1,-1,2,3,2
2.049317386,1,-1,-1,1,0,0,3
0.949733604,1,1,-1,1,0,0,3
0.8665317,1,-1,-1,1,0,0,3
3.448988191,1,-1,1,-1,0,0,3
0.899957409,1,1,-1,1,0,0,3
0.566726302,1,1,-1,-1,0,0,3
0.783092846,1,1,1,-1,0,0,3
0.616490423,1,-1,-1,1,0,0,3
1.183041351,1,-1,1,-1,0,0,3
0.766589927,1,1,-1,1,0,0,3
0.849793038,1,-1,-1,1,0,0,3
0.933108135,1,-1,-1,-1,0,0,3
0.833257821,1,-1,-1,-1,2,3,2
0.766327621,1,1,1,1,2,3,2
2.615921138,1,1,1,-1,0,0,3
1.049776195,1,1,1,1,0,0,3
1.249824853,1,-1,-1,-1,2,2,2
2.165933529,1,-1,1,1,1,1,1
1.11635595,1,-1,-1,-1,2,3,2
1.582773431,1,-1,1,-1,0,0,3
4.865190591,1,1,-1,1,0,0,3
1.266328074,1,1,1,-1,0,0,3
1.116360779,1,1,-1,-1,0,0,3
1.099664376,1,-1,1,-1,0,0,3
0.966513922,1,-1,1,1,0,0,3
1.232995938,1,-1,1,1,0,0,3
1.116360779,1,-1,1,1,1,1,1
2.132655726,1,-1,-1,1,1,1,1
1.583164324,1,1,-1,1,2,2,2
2.182782366,1,-1,1,1,0,0,3
1.299564826,1,-1,-1,1,0,0,3
1.616089267,1,-1,-1,1,1,1,1
1.149757511,1,1,1,1,0,0,3
1.366356176,1,-1,-1,-1,2,3,2
0.916524924,1,-1,1,1,2,3,2
1.366297014,1,1,-1,-1,0,0,3
0.883140568,1,1,1,1,2,2,2
1.183057047,1,1,1,1,0,0,3
0.799813398,1,1,-1,1,0,0,3
1.999319333,1,-1,1,1,1,1,1
1.06627187,1,-1,1,1,0,0,3
1.233042423,1,-1,-1,-1,0,0,3
2.099481154,1,-1,-1,1,0,0,3
2.215881777,1,1,1,-1,2,2,2
1.116288336,1,-1,1,1,0,0,3
0.883136644,1,-1,1,-1,2,3,2
1.333137535,1,1,1,1,0,0,3
1.116500535,1,1,1,1,0,0,3
0.716661601,1,1,1,1,0,0,3
1.399769207,1,1,-1,-1,2,2,2
1.366254755,1,-1,1,-1,0,0,3
1.000108967,1,-1,-1,-1,0,0,3
0.83335562,1,-1,1,1,0,0,3
1.116335424,1,1,-1,-1,2,3,2
0.64986029,1,-1,-1,1,0,0,3
1.033013083,1,-1,-1,-1,0,0,3
1.149558895,1,1,1,1,0,0,3
0.966420651,1,-1,-1,1,0,0,3
0.916605819,1,1,-1,-1,0,0,3
1.016262347,1,-1,-1,-1,0,0,3
1.183029579,1,-1,-1,-1,0,0,3
1.849486663,1,1,1,1,0,0,3
0.949755639,1,-1,-1,-1,0,0,3
0.899679407,1,1,1,-1,0,0,3
0.849742026,1,-1,1,-1,0,0,3
0.866304107,1,1,-1,1,0,0,3
1.799534792,1,1,-1,-1,0,0,3
1.732896177,1,1,1,-1,0,0,3
1.099756741,1,1,-1,-1,0,0,3
1.349779304,1,1,1,1,0,0,3
0.849767381,1,-1,1,-1,0,0,3
1.866153787,1,1,1,1,0,0,3
0.983059401,1,1,-1,-1,0,0,3
1.532974296,1,1,-1,-1,2,3,2
0.916863295,1,1,1,-1,2,2,2
1.833129838,1,1,1,-1,0,0,3
0.882989946,1,-1,1,-1,0,0,3
1.166587633,1,-1,-1,-1,2,3,2
0.949796087,1,-1,-1,1,0,0,3
1.049694394,1,-1,1,1,0,0,3
2.116176652,1,-1,-1,1,0,0,3
1.083157532,1,1,-1,-1,2,3,2
0.749823495,1,1,1,1,0,0,3
1.36619016,1,1,-1,1,0,0,3
0.899618133,1,1,1,1,0,0,3
0.983081436,1,-1,1,-1,0,0,3
0.766523218,1,-1,-1,1,0,0,3
0.949844986,1,1,1,1,0,0,3
1.449718059,1,1,-1,1,0,0,3
0.63354512,1,1,1,-1,0,0,3
1.266465113,1,-1,-1,-1,0,0,3
0.916353474,1,1,1,-1,0,0,3
0.58334181,1,1,-1,-1,0,0,3
1.183024749,1,-1,-1,-1,0,0,3
1.083068487,1,-1,-1,1,3,100,0
0.699826649,1,1,-1,1,0,0,3
0.783171025,1,-1,1,-1,0,0,3
0.7499225,1,-1,-1,-1,0,0,3
