response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
2,0.799961906624958,1,2,2,2
1,3.79896973352879,1,1,1,1
1,3.28254514350556,1,1,1,1
3,1.43309379718266,1,2,2,2
4,0.833165757358074,1,2,2,1
1,1.51640708278865,1,2,1,1
1,0.783030665712431,1,2,1,2
2,1.11626992304809,1,1,2,1
2,2.54925656411797,1,2,1,2
4,1.5494642353151,1,1,1,1
4,1.43304308666848,1,1,2,1
2,0.966281499015167,1,2,1,2
4,1.01651982287876,1,2,1,2
2,1.01637433213182,1,2,1,2
1,1.21631191018969,1,1,1,1
4,1.2331486728508,1,2,2,1
3,1.26620220346376,1,1,2,1
4,1.04956007213332,1,2,2,2
3,1.18294234480709,1,1,2,2
4,0.799945606850088,1,2,2,2
3,0.866568827768788,1,1,1,2
4,1.09975492977537,1,1,1,2
3,0.883128796238452,1,2,2,1
3,1.0996088355314,1,1,1,2
1,1.29976012161933,1,2,2,2
2,0.916167536517605,1,2,2,1
4,1.44951612292789,1,1,1,1
2,0.816466637188569,1,1,2,1
3,1.44943854818121,1,1,2,1
2,0.86650453438051,1,2,2,2
1,0.866471934597939,1,2,2,2
3,0.949646973982453,1,2,1,1
4,0.966400728793815,1,1,2,2
4,1.1664351997897,1,1,2,2
3,1.5495514695067,1,2,2,2
3,0.68329414841719,1,1,2,2
4,1.54976427205838,1,1,2,2
1,0.883096800418571,1,1,2,2
2,0.683095834450796,1,1,1,2
1,1.33308199467137,1,1,2,1
2,1.18306700792164,1,2,1,1
2,0.750053502386436,1,2,1,1
2,1.13304601446725,1,2,2,1
1,1.14960477571003,1,2,1,1
1,4.08204914745875,1,2,2,1
1,2.86568682896905,1,1,1,2
2,0.799642551923171,1,2,2,1
4,1.08309504971839,1,2,1,1
4,1.06634733197279,1,1,2,1
1,1.63269481481984,1,2,2,1
2,1.64966771099716,1,1,2,1
4,1.09963237959892,1,1,2,1
1,1.28302749618888,1,1,1,1
1,1.24980100686662,1,2,2,1
3,2.39943747664802,1,2,1,1
2,2.13258660235442,1,1,1,1
3,1.39991017011926,1,1,1,2
1,0.799824867863208,1,2,2,1
1,1.69954955275171,1,2,2,1
1,2.04947495087981,1,1,2,2
3,1.44950344553217,1,2,1,2
3,1.33298117783852,1,1,2,2
1,1.48306468385272,1,1,2,1
4,0.916316045448184,1,2,1,2
3,1.01652616169304,1,1,2,2
1,0.833181453635916,1,2,1,1
4,1.71614091354422,1,1,2,2
2,1.1164184322115,1,2,1,2
3,1.01640934660099,1,1,1,2
3,0.93313862150535,1,2,2,1
4,0.950201166560873,1,2,1,2
1,1.08315994683653,1,2,1,2
1,1.36626833840273,1,1,2,2
1,0.766923770541325,1,1,2,1
3,3.78226246335544,1,1,2,1
1,1.08302894514054,1,2,2,1
1,0.666706410003826,1,2,1,1
3,0.933038709918037,1,1,2,1
1,2.04931738646701,1,1,1,2
3,0.949733604444191,1,2,1,2
2,0.86653170036152,1,1,1,2
2,3.44898819131777,1,1,2,1
1,0.899957409361377,1,2,1,2
1,0.566726301563904,1,2,1,1
